name,objra,objdec,C,A,S,nsa_sersic_mass,LogMass,nsa_sersic_ba,nsa_sersic_n,PETRO_TH90,log_age_mean_LW,log_ZH_mean_LW,log_SFR_ssp,log_SFR_Ha,vel_sigma_Re,modelMag_r,sSFR_Ha,sSFR_ssp,Compactness,Morphology_Index,Ellipticity,Z_per_Age,vel_sigma_norm,Central_Brightness,SFR_Consistency,Mass_to_Light,Bulge_Proxy,Mass_Category,Age_Category,Morphology_Category,SFR_Category,Compactness_Quantile,Mass_Category_Ord,Age_Category_Ord,SFR_Category_Ord,Morph_Disco,Morph_Intermedia,Morph_Esferoidal
manga-10213-3703,123.8433,44.06446,-1.3249865518168358,0.05102117704134505,-0.16166606428493,-1.15739927765074,-1.1594667217213672,0.7804475091506067,-1.4370756648554748,-0.07208858075844196,-0.5857308217829907,-0.2861596984135807,-0.10636939765738042,0.24768859862529852,0.9479557588626527,0.07539425122025427,-9.68165963254185,-9.683435150710782,7.06088542913311,2.3680000000000003,0.223862,-0.0445725517125778,0.3231472457042685,8.681802980850502,0.0017755181689310118,15.558406364098776,0.20143903547841896,Enana,Joven,Disco,Moderada,0.0,0,0,1,True,False,False
manga-10213-3704,123.434850902,43.7540199483,1.8111371665960865,-0.5070309647888019,-0.583539950725638,1.8033622071673037,1.7939028762239209,1.1039478940358607,1.2760203609478897,0.9677759896454557,1.6131191362862947,1.2804851278379188,-0.5112986302972988,-1.4213551232674604,-1.3898500298465122,0.4066507932502757,-14.187752945696008,-12.047615323502756,8.667409604253706,3.9640000000000004,0.16162200000000004,-0.007328667891728497,0.05181052965641816,7.881016054692855,2.140137622193252,17.76689330968243,0.9051482536448665,Masiva,Vieja,Esferoidal,Pasiva,3.0,2,2,0,False,False,True
manga-10213-6101,121.717807261,43.3235006561,-0.008978270205553746,-0.3714458109799741,-0.17225934736356047,1.0690291797705647,1.0691649303613109,1.33158402547727,1.2760203609478897,-0.2250273029021451,0.2727891974819465,0.9412710597909016,-0.1321057665031952,-0.8129222803838952,-0.9181812263497333,-0.0021673924130143117,-12.676739588226182,-11.299422910779336,8.722637727099347,3.343,0.11902900000000005,-0.014152902328959141,0.1085608594999488,8.762227594415652,1.377316677446846,17.123684816638953,0.9051482536448665,Masiva,Media,Esferoidal,Pasiva,3.0,2,1,0,False,False,True
manga-10213-6102,122.675141761,42.2778481495,0.8053560683813561,-0.2885284581968867,-0.1933024245277934,0.7488214713001817,0.7512115563087975,-0.6755384020482218,0.7448090224528805,-0.4109188790435312,0.8603718986198992,0.2049114199990463,-0.5709143623893214,-0.3111168572746665,-0.25689015166876245,-0.043193050067122284,-11.737435199010957,-11.4088163020755,8.586701781573343,3.772,0.535435,-0.029371037938838666,0.18433573938344433,8.912683609192682,0.328618896935456,16.89379846520214,0.8093795504803953,Masiva,Media,Esferoidal,Pasiva,3.0,2,1,0,False,False,True
manga-10213-6103,121.096386831,43.5825885672,1.3333584208135956,-0.33013314289280027,-0.18280487018470912,0.7005884945080844,0.7032245633631234,0.9528496969943503,1.0396138670521118,0.6018340178374398,0.9837455447772633,0.8669460599820996,0.14562455080085196,-0.34495994829871024,-0.4444400861727596,-0.731069559570841,-11.750188700515046,-10.85587093710761,8.118897504768858,4.082,0.19043299999999996,-0.01514000756103941,0.16354007294664574,7.14685850786382,0.894317763407436,16.590220228929198,0.867757322900713,Masiva,Media,Esferoidal,Pasiva,2.0,2,1,0,False,False,True
manga-10213-6104,122.574759642,42.4055177083,1.106747194375428,0.15822482513284047,0.3994646672263728,1.2020719103989188,1.2009403446500513,-0.21379991526666375,0.4328832853944873,0.14509260335615834,1.6132908542536388,0.9470466480017102,-0.4270754838478387,-1.3358912267318663,-1.4883104187586675,-1.0234202828491532,-13.647639540322986,-11.601973528348973,8.652545288665184,4.324,0.43009200000000003,-0.013238549111188366,0.04020577326865608,7.37777142649166,2.0456660119740127,16.81407084537439,0.7343699652132186,Masiva,Vieja,Intermedia,Pasiva,3.0,2,2,0,False,True,False
manga-10213-9101,122.363515778,43.9349178253,-0.03371499219093146,-0.10489408693387078,-0.05315035154985065,-0.19581689700653473,-0.19252655130795293,-0.43149490425542664,-0.530659317048718,0.35902092895680376,-0.3693936965798892,0.6339051368950117,0.5338040912114211,0.5251379058898179,0.01609382489619963,-1.0583456596261631,-10.126014524041173,-9.961115673895938,7.599876852482388,3.362,0.47887199999999996,-0.02106293397546787,0.21768031635690893,7.113008778232279,0.1648988501452357,15.841819468495343,0.4527826529244676,Intermedia,Joven,Disco,Moderada,1.0,1,0,1,True,False,False
manga-10213-9102,124.265207921,42.3782637188,-2.6477745502338106,5.184755618201484,4.2533753477935194,-1.9380489889088182,-1.9459632590135625,-1.2581426174920292,-0.9599603703200605,0.4690701366838563,-1.2837285031814043,-1.5405414516968416,-0.8588363726555315,-0.5074134124913432,1.432575052990609,1.315473468685364,-9.988265381531784,-9.606810446763792,6.191495717279025,2.972,0.679961,-0.09205239291192635,0.3801996478968266,9.492550346963267,0.38145493476799286,15.482493705799584,0.32697735836932473,Enana,Joven,Disco,Pasiva,0.0,0,0,0,True,False,False
manga-10214-12701,121.177734666,35.4005287119,0.1947120144265432,-0.10489408693387078,0.10640298246722064,-0.22419637890626518,-0.22099187382389204,-1.585995882278893,-1.1470914777339043,1.0711568783611207,-0.4258790584094476,-0.9871607794058026,0.6967482475341754,0.3772734710378598,1.1059705840418743,-0.3317379832642343,-10.250677970898733,-9.831281082928532,7.255831334695307,3.639,0.768521,-0.06662792515911313,0.33361247139852557,6.994595045553879,0.419396887970202,16.09733944377962,0.27558927683116813,Intermedia,Joven,Disco,Moderada,0.0,1,0,1,True,False,False
manga-10214-12702,122.056621702,34.5382142602,0.8790483845609177,-0.5170673367948182,-0.21415278089654166,1.0554049269622428,1.0556592447328923,1.0460579500396132,0.907152445708209,0.2844322569616641,0.6594187198482704,0.26473816277476364,-0.10932289123461564,-1.8524669632311765,-1.2967722547251777,0.18267960918537782,-14.554156648040966,-11.274032287651865,8.496067548514922,3.86,0.17260799999999998,-0.028233480734066115,0.06367216654481435,8.411034300552581,3.2801243603890997,17.191855955599756,0.8431259440860237,Masiva,Media,Esferoidal,Pasiva,3.0,2,1,0,False,False,True
